               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1025,            0.035353,            0.025392,             0.76962,             0.11013,            0.076009,            0.013947,            0.085262,            0.026699,            0.014841,           0.0032704,           0.0032704,            0.070566
                   1,            0.085587,            0.025335,            0.016406,             0.71295,             0.14537,            0.038805,           0.0072311,            0.080883,            0.017504,            0.013846,           0.0065384,           0.0065384,            0.040501
                   2,            0.081404,            0.022778,            0.015251,             0.55447,             0.25214,             0.12807,            0.034643,            0.074417,            0.018382,            0.013622,           0.0097404,           0.0097404,            0.010369
                   3,            0.075328,            0.023219,            0.012459,             0.50528,             0.20786,             0.14136,            0.034116,              0.0769,            0.017573,            0.010713,            0.009703,            0.009703,            0.009703
                   4,            0.068737,            0.021537,            0.010809,             0.50083,             0.25315,             0.13837,            0.041195,            0.069183,            0.018953,           0.0099985,            0.009703,            0.009703,            0.009703
                   5,            0.061082,            0.021837,           0.0088377,             0.42453,             0.31602,             0.21307,            0.052771,            0.071196,            0.019519,           0.0099521,            0.009604,            0.009604,            0.009604
                   6,            0.061021,            0.021559,            0.007726,             0.61392,             0.25972,             0.27432,            0.083671,            0.061907,            0.022155,            0.010276,            0.009505,            0.009505,            0.009505
                   7,             0.05835,            0.021557,           0.0063446,             0.46642,             0.45182,             0.37108,              0.1074,            0.059592,            0.016949,           0.0074914,            0.009406,            0.009406,            0.009406
                   8,            0.056006,            0.020427,           0.0058907,              0.3872,             0.61771,             0.44953,             0.15198,            0.053022,            0.016621,           0.0068415,            0.009307,            0.009307,            0.009307
                   9,            0.054409,            0.020356,            0.005384,             0.55752,             0.56939,             0.54807,             0.17626,            0.053209,            0.014938,           0.0053794,            0.009208,            0.009208,            0.009208
                  10,            0.052533,            0.019285,           0.0054453,             0.76283,             0.53925,             0.57746,             0.22679,            0.056109,            0.017948,           0.0054512,            0.009109,            0.009109,            0.009109
                  11,            0.051302,            0.020431,           0.0050308,             0.49663,              0.5759,             0.49386,             0.19871,            0.050671,            0.016478,            0.004452,             0.00901,             0.00901,             0.00901
                  12,            0.052729,            0.019352,           0.0044288,             0.70271,              0.6257,              0.6324,             0.26068,            0.048269,            0.015444,           0.0048747,            0.008911,            0.008911,            0.008911
                  13,            0.048647,            0.019052,           0.0039749,             0.73582,             0.48117,             0.49979,             0.22044,            0.048624,            0.016315,           0.0052292,            0.008812,            0.008812,            0.008812
                  14,            0.049368,            0.018948,           0.0038949,             0.65849,             0.60312,              0.6284,             0.25817,            0.049276,            0.014917,           0.0033101,            0.008713,            0.008713,            0.008713
                  15,            0.048936,            0.019378,           0.0041014,             0.60732,             0.65537,             0.62805,             0.22135,            0.049442,            0.015227,           0.0038872,            0.008614,            0.008614,            0.008614
                  16,            0.048104,            0.018947,           0.0035841,             0.81463,             0.57346,             0.65326,             0.28831,            0.046254,            0.014234,           0.0028767,            0.008515,            0.008515,            0.008515
                  17,            0.046976,            0.018315,           0.0033714,             0.78598,             0.56055,             0.68212,             0.29469,             0.04534,            0.014653,           0.0041962,            0.008416,            0.008416,            0.008416
                  18,            0.046846,            0.018895,           0.0031741,             0.72493,             0.59328,             0.66202,              0.2652,            0.045194,            0.014039,           0.0028964,            0.008317,            0.008317,            0.008317
                  19,             0.04601,            0.018822,           0.0028426,             0.74232,             0.74834,             0.76293,             0.33684,             0.04273,            0.013311,           0.0025541,            0.008218,            0.008218,            0.008218
                  20,            0.045057,            0.018082,           0.0030712,             0.73261,             0.71087,              0.7569,             0.35444,            0.043002,            0.013873,           0.0029264,            0.008119,            0.008119,            0.008119
                  21,             0.04554,            0.017377,           0.0026117,             0.64835,             0.70757,             0.66307,             0.26933,            0.043772,            0.013556,           0.0024122,             0.00802,             0.00802,             0.00802
                  22,            0.044292,            0.018221,           0.0024998,              0.6305,             0.77494,             0.72451,             0.30761,            0.044795,             0.01349,           0.0021253,            0.007921,            0.007921,            0.007921
                  23,            0.043342,            0.017345,           0.0023621,             0.73241,             0.72076,             0.71141,             0.31618,            0.045827,            0.014118,           0.0024741,            0.007822,            0.007822,            0.007822
                  24,            0.044677,            0.017916,           0.0026203,             0.78889,             0.75472,             0.77539,             0.35243,            0.040502,            0.013785,           0.0021252,            0.007723,            0.007723,            0.007723
                  25,             0.04338,            0.017034,           0.0023887,             0.69783,             0.78916,             0.76152,             0.33361,            0.042394,            0.013981,           0.0020634,            0.007624,            0.007624,            0.007624
                  26,            0.042962,            0.017954,           0.0022683,             0.93597,             0.62494,             0.80326,             0.39407,            0.040286,            0.013572,           0.0020135,            0.007525,            0.007525,            0.007525
                  27,            0.041723,            0.017335,           0.0024382,             0.74913,             0.74982,             0.81075,             0.36807,            0.043136,            0.013149,           0.0018096,            0.007426,            0.007426,            0.007426
                  28,            0.042106,            0.018161,           0.0020331,              0.8641,             0.65854,             0.81213,             0.38642,            0.039911,            0.013072,           0.0018303,            0.007327,            0.007327,            0.007327
                  29,            0.041255,            0.016897,           0.0021662,             0.81673,             0.75524,             0.85634,             0.41415,            0.040317,            0.012981,           0.0018743,            0.007228,            0.007228,            0.007228
                  30,            0.040821,            0.016465,           0.0018505,             0.81508,             0.68769,             0.82486,             0.35697,            0.039519,            0.013122,           0.0016282,            0.007129,            0.007129,            0.007129
                  31,             0.04123,            0.017249,           0.0019759,             0.88184,             0.75403,             0.89764,             0.45685,            0.038168,            0.012685,           0.0016245,             0.00703,             0.00703,             0.00703
                  32,            0.040027,            0.016728,           0.0019306,               0.714,             0.89208,              0.8136,             0.36876,            0.039774,             0.01284,            0.001802,            0.006931,            0.006931,            0.006931
                  33,            0.040195,            0.016917,           0.0019006,              0.9188,              0.6915,             0.83008,             0.37043,            0.040429,            0.012666,           0.0016495,            0.006832,            0.006832,            0.006832
                  34,            0.038718,            0.015853,           0.0018315,             0.78958,             0.79816,              0.8118,             0.38769,            0.039797,            0.012769,           0.0015929,            0.006733,            0.006733,            0.006733
                  35,            0.039178,            0.016366,           0.0017943,             0.81646,             0.77862,             0.84821,             0.41474,            0.036715,            0.012592,            0.001728,            0.006634,            0.006634,            0.006634
                  36,            0.040436,            0.017252,           0.0019425,             0.83619,             0.80927,             0.85214,             0.43728,            0.037279,            0.013015,           0.0016296,            0.006535,            0.006535,            0.006535
                  37,            0.038625,            0.016581,           0.0018212,             0.70339,             0.70934,             0.76226,             0.36879,            0.039845,            0.012798,           0.0018933,            0.006436,            0.006436,            0.006436
