               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               0.103,            0.035222,            0.025387,             0.77582,            0.087127,             0.06528,            0.011364,            0.084836,             0.02798,            0.014817,           0.0032704,           0.0032704,            0.070566
                   1,            0.085541,            0.025437,            0.016584,             0.72919,             0.13999,             0.06514,             0.01627,            0.077766,            0.018282,            0.013199,           0.0065443,           0.0065443,            0.040507
                   2,            0.081029,            0.023198,             0.01591,             0.47546,             0.26921,            0.093355,            0.023906,            0.075448,            0.017521,            0.013934,           0.0097582,           0.0097582,            0.010387
                   3,            0.073019,            0.022485,            0.013142,             0.59681,              0.3016,             0.19594,            0.052211,            0.064691,            0.019948,           0.0090169,             0.00973,             0.00973,             0.00973
                   4,            0.066681,            0.023243,            0.011276,              0.5172,             0.16894,             0.12052,            0.032865,            0.069434,            0.017942,            0.011177,             0.00973,             0.00973,             0.00973
                   5,            0.064036,            0.021489,           0.0090524,             0.61712,             0.32425,             0.33883,             0.11498,              0.0573,            0.018509,            0.013437,             0.00964,             0.00964,             0.00964
                   6,            0.060174,            0.021364,           0.0079415,             0.59377,             0.31833,               0.261,            0.077906,            0.058167,            0.017066,            0.010991,             0.00955,             0.00955,             0.00955
                   7,             0.05719,            0.021451,           0.0065546,             0.43288,              0.4253,             0.31373,             0.11137,            0.061724,            0.017148,           0.0095881,             0.00946,             0.00946,             0.00946
                   8,            0.056654,            0.020392,           0.0062773,             0.35349,               0.489,             0.34619,             0.12915,            0.059388,            0.016402,           0.0087081,             0.00937,             0.00937,             0.00937
                   9,            0.054799,            0.020195,             0.00553,             0.67758,             0.55759,             0.57283,             0.22132,            0.050406,            0.015509,            0.005373,             0.00928,             0.00928,             0.00928
                  10,            0.052913,            0.019342,           0.0054585,             0.65862,             0.54614,             0.60884,             0.21646,            0.050035,            0.014885,           0.0041257,             0.00919,             0.00919,             0.00919
                  11,            0.051792,            0.020455,           0.0049392,             0.63817,              0.6107,             0.61492,             0.25737,            0.049073,            0.014707,           0.0041161,              0.0091,              0.0091,              0.0091
                  12,            0.051768,            0.019282,            0.004282,             0.70918,             0.60622,              0.6379,             0.30374,            0.048051,              0.0147,           0.0036772,             0.00901,             0.00901,             0.00901
                  13,            0.048968,            0.018994,           0.0040725,             0.78882,             0.48355,             0.50326,             0.20483,            0.047284,            0.015049,           0.0033074,             0.00892,             0.00892,             0.00892
                  14,            0.049638,            0.018797,           0.0039581,             0.85613,             0.57538,             0.72572,             0.33094,            0.045619,             0.01444,           0.0028523,             0.00883,             0.00883,             0.00883
                  15,            0.048308,            0.019103,           0.0038312,             0.79926,              0.6156,             0.70139,             0.26108,            0.048585,            0.014102,           0.0029793,             0.00874,             0.00874,             0.00874
                  16,            0.048668,            0.018925,           0.0034566,             0.89627,              0.5918,             0.74179,             0.32445,            0.044947,             0.01393,           0.0030033,             0.00865,             0.00865,             0.00865
                  17,            0.048649,            0.018234,           0.0038248,             0.79838,             0.66916,             0.74354,             0.31283,            0.045886,             0.01384,           0.0028122,             0.00856,             0.00856,             0.00856
                  18,            0.045841,            0.018966,           0.0031429,              0.6985,             0.66832,             0.69473,             0.26506,             0.04948,            0.014227,           0.0031379,             0.00847,             0.00847,             0.00847
                  19,            0.047448,            0.018831,           0.0028158,             0.64367,             0.75778,             0.70636,             0.35114,            0.044698,            0.014535,           0.0029324,             0.00838,             0.00838,             0.00838
                  20,            0.044459,             0.01812,           0.0029072,             0.71958,             0.69262,             0.67544,             0.33277,            0.043222,             0.01418,           0.0035085,             0.00829,             0.00829,             0.00829
                  21,            0.045948,            0.017462,           0.0024222,             0.68889,             0.64762,             0.66711,             0.28506,            0.043548,            0.013602,           0.0023176,              0.0082,              0.0082,              0.0082
                  22,            0.044186,             0.01832,           0.0024179,             0.69217,             0.73394,             0.73182,             0.30408,            0.043919,            0.013823,           0.0028493,             0.00811,             0.00811,             0.00811
                  23,            0.044836,            0.017272,           0.0023101,             0.79568,             0.66674,             0.64498,             0.31888,             0.04638,            0.014113,           0.0027441,             0.00802,             0.00802,             0.00802
                  24,            0.045349,            0.017862,           0.0027423,             0.71261,             0.84012,             0.79608,                0.33,            0.043032,            0.013052,            0.002397,             0.00793,             0.00793,             0.00793
                  25,            0.042713,            0.016804,           0.0023262,             0.73927,             0.80472,             0.79375,             0.38371,            0.042643,            0.013538,           0.0025607,             0.00784,             0.00784,             0.00784
                  26,            0.043297,             0.01778,           0.0022349,             0.82904,             0.78446,             0.82002,              0.4367,             0.04024,            0.013531,           0.0021384,             0.00775,             0.00775,             0.00775
                  27,            0.040386,            0.017265,           0.0024761,             0.74232,             0.67996,              0.7577,              0.3882,            0.040228,             0.01333,           0.0019878,             0.00766,             0.00766,             0.00766
                  28,            0.042643,            0.018054,           0.0020989,             0.80754,             0.84695,             0.87508,             0.45037,            0.040444,            0.013596,            0.003036,             0.00757,             0.00757,             0.00757
                  29,            0.040847,            0.016696,           0.0024024,              0.7105,             0.82565,              0.8327,             0.37115,            0.040934,            0.013255,           0.0018928,             0.00748,             0.00748,             0.00748
                  30,            0.041587,            0.016536,           0.0019999,             0.89557,             0.68282,             0.84267,             0.36341,            0.039354,            0.013499,           0.0020088,             0.00739,             0.00739,             0.00739
                  31,            0.041479,            0.017307,           0.0021147,              0.8742,             0.80874,             0.87964,             0.43423,            0.039077,            0.013119,            0.001804,              0.0073,              0.0073,              0.0073
                  32,            0.040549,            0.016792,           0.0020297,             0.89618,             0.80943,             0.89059,             0.42846,            0.039274,            0.012852,           0.0016984,             0.00721,             0.00721,             0.00721
                  33,            0.039642,            0.016828,           0.0021261,             0.77092,             0.85244,             0.86054,             0.41741,            0.040285,             0.01316,            0.003523,             0.00712,             0.00712,             0.00712
                  34,            0.040506,            0.016074,           0.0021153,             0.86074,             0.80206,             0.86624,             0.43539,             0.03845,            0.012492,           0.0018026,             0.00703,             0.00703,             0.00703
                  35,            0.040394,            0.016514,           0.0021854,             0.91743,             0.75808,             0.88327,             0.44116,             0.03766,            0.012942,           0.0016307,             0.00694,             0.00694,             0.00694
                  36,            0.039356,            0.017314,           0.0019369,              0.9166,             0.75441,             0.86093,             0.41064,            0.038598,            0.013124,           0.0015718,             0.00685,             0.00685,             0.00685
                  37,            0.039894,            0.016731,           0.0017653,             0.79435,             0.73956,             0.82672,              0.3625,            0.040317,            0.013217,           0.0018651,             0.00676,             0.00676,             0.00676
                  38,            0.037954,            0.015482,           0.0016755,             0.78643,             0.85118,             0.87122,             0.41741,            0.039288,            0.012418,            0.001416,             0.00667,             0.00667,             0.00667
                  39,            0.037808,            0.016217,           0.0016659,             0.91208,             0.75041,             0.88271,             0.44278,            0.037897,            0.012427,            0.001423,             0.00658,             0.00658,             0.00658
                  40,            0.037201,            0.015937,           0.0016942,             0.94076,              0.8127,              0.8991,             0.41784,             0.03684,            0.012835,           0.0011537,             0.00649,             0.00649,             0.00649
                  41,            0.037473,            0.016228,           0.0016705,             0.88702,             0.76423,             0.87114,              0.4152,            0.039279,            0.012638,           0.0015095,              0.0064,              0.0064,              0.0064
                  42,            0.037731,            0.015456,           0.0017257,             0.85408,             0.83704,             0.88528,             0.41616,            0.037202,            0.012922,           0.0013169,             0.00631,             0.00631,             0.00631
                  43,            0.037251,            0.016466,           0.0016418,              0.8928,             0.85862,             0.91563,             0.45295,            0.036766,             0.01294,           0.0013089,             0.00622,             0.00622,             0.00622
                  44,             0.03676,            0.016342,           0.0017523,             0.87365,             0.79307,              0.9016,             0.40181,            0.037284,            0.012571,           0.0013111,             0.00613,             0.00613,             0.00613
                  45,            0.036044,            0.015411,           0.0015097,             0.84451,             0.87314,             0.90239,             0.43041,            0.037571,            0.012754,           0.0016565,             0.00604,             0.00604,             0.00604
                  46,            0.035579,             0.01595,           0.0014098,             0.91096,             0.70183,             0.87598,             0.45392,            0.036206,            0.012491,           0.0020559,             0.00595,             0.00595,             0.00595
